Var1,Var2,Obs,Exp,PMR,PMR_95CI,PAR
I10,T79,38,1.05,36.19,"(24.68, 47.7)",0.12
I11,K74,30,2.38,12.61,"(8.1, 17.12)",0.12
I48,R54,76,28.25,2.69,"(2.08, 3.3)",0.12
D64,F03,89,48.42,1.84,"(1.47, 2.21)",0.11
F03,I26,50,10.629999999999999,4.7,"(3.39, 6.01)",0.11
F03,R56,53,18.13,2.92,"(2.14, 3.7)",0.11
G20,I48,59,21.81,2.71,"(2.02, 3.4)",0.11
G30,R26,43,2.35,18.3,"(12.83, 23.77)",0.11
I10,Y83,48,15.69,3.06,"(2.2, 3.92)",0.11
I11,I26,31,2.99,10.37,"(6.72, 14.02)",0.11
J95,Y83,32,7.03,4.55,"(2.98, 6.12)",0.11
T84,Y83,37,2.78,13.31,"(9.02, 17.6)",0.11
C34,I11,29,1.77,16.38,"(10.42, 22.34)",0.1
E14,G20,46,13.52,3.4,"(2.42, 4.38)",0.1
E66,I48,44,20.03,2.2,"(1.55, 2.85)",0.1
F03,I35,55,16.36,3.36,"(2.48, 4.24)",0.1
F17,M81,40,8.47,4.72,"(3.25, 6.19)",0.1
G30,J44,61,24.59,2.48,"(1.85, 3.11)",0.1
I10,I35,98,63.23,1.55,"(1.24, 1.86)",0.1
I12,R26,36,1.6500000000000001,21.82,"(14.69, 28.95)",0.1
I25,I51,58,28.41,2.04,"(1.51, 2.57)",0.1
I25,I63,46,15.61,2.95,"(2.11, 3.79)",0.1
I48,R55,38,3.54,10.73,"(7.32, 14.14)",0.1
J96,T79,32,1.62,19.75,"(12.91, 26.59)",0.1
M81,R54,43,3.7399999999999998,11.5,"(8.07, 14.93)",0.1
