Var1,Var2,obs,exp,n,pmr
E059,I48,3,2.39,140,1.2552301255230125
F069,J969,3,2.39,162,1.2552301255230125
I269,J969,30,23.92,1758,1.2541806020066888
I516,I64,4,3.19,212,1.2539184952978057
I120,I64,28,22.330000000000002,1430,1.2539184952978055
I10,I959,10,7.99,515,1.2515644555694618
E149,E785,88,70.37,5083,1.250532897541566
F179,I38,11,8.799999999999999,613,1.2500000000000002
I071,I48,3,2.4,133,1.25
I251,J984,6,4.8,332,1.25
I48,M869,3,2.4,153,1.25
F03,N185,7,5.61,377,1.2477718360071302
A419,F329,5,4.01,269,1.2468827930174564
I64,R568,15,12.030000000000001,848,1.2468827930174562
E119,F03,64,51.51,3128,1.24247718889536
A099,I48,2,1.6099999999999999,99,1.2422360248447206
C349,C787,2,1.61,126,1.2422360248447204
C679,J449,8,6.44,421,1.2422360248447204
G20,K922,2,1.61,101,1.2422360248447204
I219,J690,6,4.83,309,1.2422360248447204
I48,I495,21,16.93,943,1.2404016538688718
E785,I214,3,2.42,155,1.2396694214876034
I10,R11,3,2.42,146,1.2396694214876034
I500,I517,7,5.65,354,1.238938053097345
N19,R54,4,3.23,173,1.238390092879257
I219,I48,36,29.08,1880,1.237964236588721
F179,R54,20,16.2,913,1.234567901234568
E871,R090,2,1.62,112,1.2345679012345678
E871,R13,2,1.62,98,1.2345679012345678
F019,R99,2,1.62,95,1.2345679012345678
I500,J440,25,20.25,1348,1.2345679012345678
A419,I38,5,4.06,290,1.2315270935960592
G934,J690,10,8.120000000000001,545,1.231527093596059
E785,I259,5,4.07,267,1.2285012285012284
G934,J189,13,10.59,733,1.2275731822474032
I350,I499,4,3.26,198,1.2269938650306749
R33,R628,2,1.6300000000000001,84,1.2269938650306749
C509,D649,5,4.09,278,1.2224938875305624
C189,I10,23,18.83,1169,1.2214551248008498
J449,L899,5,4.1,289,1.2195121951219514
A047,I10,7,5.74,368,1.2195121951219512
C509,C787,2,1.6400000000000001,143,1.2195121951219512
E109,I48,2,1.6400000000000001,127,1.2195121951219512
E46,I269,3,2.46,184,1.2195121951219512
G934,J90,2,1.64,105,1.2195121951219512
I258,J449,4,3.28,229,1.2195121951219512
I509,R568,4,3.28,224,1.2195121951219512
I709,R54,7,5.75,302,1.2173913043478262
E669,G473,11,9.05,809,1.2154696132596685
E109,I10,6,4.94,396,1.214574898785425
E86,I64,6,4.94,305,1.214574898785425
E149,G473,17,14.01,1200,1.2134189864382583
F03,R11,2,1.6500000000000001,87,1.212121212121212
R99,W80,2,1.6500000000000001,102,1.212121212121212
I48,I802,24,19.81,1276,1.2115093387178193
J449,R688,24,19.82,1438,1.2108980827447022
E43,J449,5,4.13,289,1.2106537530266344
I120,I259,3,2.48,154,1.2096774193548387
I48,J440,20,16.54,1133,1.2091898428053205
I269,R688,4,3.31,256,1.2084592145015105
J449,N185,12,9.94,772,1.2072434607645877
E785,R568,9,7.46,545,1.2064343163538873
D649,E870,2,1.66,103,1.2048192771084338
J159,N179,2,1.6600000000000001,97,1.2048192771084336
R13,R522,2,1.6600000000000001,99,1.2048192771084336
I64,R53,12,9.97,621,1.2036108324974923
G629,I10,11,9.16,555,1.2008733624454149
C798,I48,3,2.5,171,1.2
F179,K703,4,3.34,329,1.1976047904191618
I350,J81,2,1.67,94,1.1976047904191618
J960,R418,2,1.67,103,1.1976047904191618
I500,R54,42,35.089999999999996,1842,1.1969222000569963
J459,J969,5,4.18,285,1.1961722488038278
I251,J448,3,2.51,172,1.1952191235059761
G819,I694,7,5.86,357,1.1945392491467577
G931,R688,4,3.35,266,1.1940298507462686
R54,R99,4,3.35,182,1.1940298507462686
F03,J690,51,42.73,2544,1.1935408378188628
E119,G309,19,15.92,940,1.1934673366834172
A419,C900,2,1.68,136,1.1904761904761905
E112,G309,3,2.52,151,1.1904761904761905
I500,Y86,2,1.68,94,1.1904761904761905
I516,J969,3,2.52,166,1.1904761904761905
D696,N288,3,2.53,192,1.1857707509881423
J969,R58,3,2.53,182,1.1857707509881423
I120,I639,3,2.5300000000000002,156,1.185770750988142
C64,I10,7,5.91,391,1.1844331641285957
I251,I340,7,5.91,395,1.1844331641285957
C509,E785,9,7.6,493,1.1842105263157896
I120,R54,9,7.6000000000000005,398,1.1842105263157894
A419,F102,2,1.69,158,1.183431952662722
I10,N390,77,65.09,3973,1.1829774158856967
A415,N390,3,2.54,147,1.1811023622047243
E669,E785,14,11.86,1038,1.1804384485666106
D649,R53,15,12.71,779,1.1801730920535012
F179,M480,4,3.39,229,1.1799410029498525
I219,I255,4,3.39,237,1.1799410029498525
I219,N390,6,5.09,318,1.1787819253438114
A419,K567,2,1.7,111,1.1764705882352942
A499,F03,2,1.7,96,1.1764705882352942
D649,E789,2,1.7,106,1.1764705882352942
G459,J449,5,4.25,264,1.1764705882352942
I120,J984,2,1.7,114,1.1764705882352942
I251,J459,7,5.95,390,1.1764705882352942
I679,R568,2,1.7,112,1.1764705882352942
J459,M199,2,1.7,109,1.1764705882352942
G301,I251,2,1.7000000000000002,90,1.176470588235294
A419,G309,18,15.33,908,1.1741682974559686
E039,I269,4,3.41,227,1.1730205278592374
F03,W80,19,16.21,970,1.1721159777914867
G473,I739,3,2.56,186,1.171875
E142,I500,48,41.01,2805,1.1704462326261889
C61,I48,26,22.22,1280,1.17011701170117
J449,R064,2,1.71,114,1.1695906432748537
A419,L893,3,2.57,150,1.1673151750972763
E871,N390,3,2.57,162,1.1673151750972763
C679,I48,10,8.59,506,1.1641443538998837
E785,R418,2,1.72,103,1.1627906976744187
I518,J189,2,1.72,110,1.1627906976744187
K219,R688,2,1.72,104,1.1627906976744187
M199,M480,3,2.58,145,1.1627906976744187
I48,R33,3,2.59,130,1.1583011583011584
I802,R53,3,2.59,165,1.1583011583011584
J449,R522,3,2.59,202,1.1583011583011584
F019,R54,4,3.46,181,1.1560693641618498
F03,J448,2,1.73,100,1.1560693641618498
F069,I10,4,3.46,209,1.1560693641618498
G936,J960,2,1.73,131,1.1560693641618498
I499,I64,8,6.92,470,1.1560693641618498
M199,R568,2,1.73,109,1.1560693641618498
R54,R636,2,1.73,89,1.1560693641618498
J189,J439,5,4.33,306,1.1547344110854503
I48,I693,3,2.6,148,1.1538461538461537
I251,N185,22,19.08,1451,1.1530398322851154
I48,R001,8,6.95,401,1.1510791366906474
I10,I679,41,35.63,2179,1.1507156890261014
I10,J459,25,21.73,1468,1.150483202945237
E119,I214,3,2.61,186,1.149425287356322
I48,J439,10,8.7,577,1.149425287356322
E785,R522,2,1.74,121,1.1494252873563218
J189,R630,2,1.74,94,1.1494252873563218
J984,N189,2,1.74,114,1.1494252873563218
I64,R470,3,2.62,153,1.1450381679389312
C349,I251,13,11.37,837,1.1433597185576079
E149,I698,2,1.75,97,1.1428571428571428
E46,I429,2,1.75,120,1.1428571428571428
F179,T818,2,1.75,136,1.1428571428571428
C349,R092,3,2.63,202,1.1406844106463878
I080,I48,3,2.63,155,1.1406844106463878
I272,I499,3,2.63,177,1.1406844106463878
I48,I679,19,16.66,975,1.140456182472989
F03,R000,5,4.390000000000001,249,1.1389521640091114
D649,R54,9,7.92,416,1.1363636363636365
I214,I350,2,1.76,101,1.1363636363636365
E119,G20,11,9.69,624,1.1351909184726523
C61,M199,2,1.77,97,1.1299435028248588
F03,G318,4,3.54,225,1.1299435028248588
F431,I251,2,1.77,142,1.1299435028248588
H409,I469,2,1.77,92,1.1299435028248588
I64,J459,2,1.77,119,1.1299435028248588
F03,I99,5,4.43,252,1.1286681715575622
E668,J961,3,2.66,249,1.1278195488721805
I679,J960,3,2.66,171,1.1278195488721805
F03,J90,7,6.21,348,1.1272141706924315
E785,R53,9,7.99,477,1.1264080100125156
I219,I739,5,4.44,323,1.126126126126126
I48,J849,5,4.44,275,1.126126126126126
I802,N390,5,4.44,289,1.126126126126126
F03,I709,28,24.89,1404,1.1249497790277219
D469,I120,2,1.78,101,1.1235955056179776
E059,I500,2,1.78,107,1.1235955056179776
F329,I694,3,2.67,165,1.1235955056179776
I340,N189,2,1.78,109,1.1235955056179776
I48,K579,2,1.78,104,1.1235955056179776
J440,W80,2,1.78,113,1.1235955056179776
I802,N189,5,4.45,289,1.1235955056179774
E145,I251,10,8.91,608,1.122334455667789
D509,I10,4,3.57,219,1.1204481792717087
F329,I120,8,7.140000000000001,427,1.1204481792717087
I251,I272,26,23.22,1578,1.119724375538329
E119,J439,3,2.68,201,1.1194029850746268
G309,I500,57,50.94,2808,1.1189634864546525
I500,M353,2,1.79,96,1.1173184357541899
I500,R522,3,2.69,175,1.1152416356877324
K746,N189,6,5.38,410,1.1152416356877324
D649,E871,5,4.49,311,1.1135857461024499
I500,N289,9,8.09,499,1.1124845488257107
I802,J449,10,8.99,661,1.1123470522803114
I64,K219,5,4.5,277,1.1111111111111112
I739,J440,2,1.8,132,1.1111111111111112
N40,R53,2,1.8,97,1.1111111111111112
R54,R688,18,16.2,870,1.1111111111111112
G473,J690,3,2.7,194,1.111111111111111
G459,I500,9,8.12,455,1.1083743842364533
N390,R53,13,11.73,710,1.1082693947144076
A047,I500,7,6.32,391,1.1075949367088607
F03,R090,21,18.97,1105,1.1070110701107012
I272,N19,3,2.71,193,1.1070110701107012
I251,I679,20,18.07,1121,1.1068068622025455
I10,I258,11,9.95,664,1.105527638190955
H353,I500,2,1.81,93,1.1049723756906078
K746,R99,3,2.72,227,1.102941176470588
I509,I694,6,5.46,338,1.098901098901099
I64,M069,3,2.73,184,1.098901098901099
C911,J960,2,1.82,118,1.0989010989010988
D62,I469,4,3.64,219,1.0989010989010988
E878,I10,2,1.82,117,1.0989010989010988
F03,R634,7,6.37,348,1.0989010989010988
I99,R54,2,1.82,105,1.0989010989010988
J439,J690,2,1.82,119,1.0989010989010988
A419,E142,15,13.66,1048,1.0980966325036603
N179,R54,6,5.47,292,1.096892138939671
E119,I350,10,9.14,560,1.0940919037199124
I499,R53,4,3.66,217,1.0928961748633879
E785,I350,14,12.83,760,1.0911925175370225
D649,E780,3,2.75,171,1.0909090909090908
E669,I500,17,15.6,1279,1.0897435897435899
E785,R54,9,8.26,447,1.089588377723971
F179,I420,3,2.76,200,1.0869565217391306
F419,M199,4,3.6799999999999997,206,1.0869565217391306
E43,R53,3,2.7600000000000002,173,1.0869565217391304
G931,R068,2,1.84,145,1.0869565217391304
I64,K746,2,1.84,152,1.0869565217391304
R54,R634,2,1.84,94,1.0869565217391304
F03,F179,122,112.38,7008,1.0856024203594947
E86,R53,7,6.45,382,1.0852713178294573
K746,R18,5,4.61,391,1.0845986984815617
F179,R418,3,2.77,181,1.0830324909747293
I359,J449,3,2.77,187,1.0830324909747293
A047,N189,2,1.85,124,1.081081081081081
D619,I10,4,3.7,270,1.081081081081081
D649,M480,2,1.85,105,1.081081081081081
E785,H353,2,1.85,96,1.081081081081081
E86,M199,2,1.85,105,1.081081081081081
G20,G473,2,1.85,129,1.081081081081081
I679,N179,2,1.85,117,1.081081081081081
J969,Y831,2,1.85,122,1.081081081081081
I959,J449,5,4.63,333,1.079913606911447
R688,W80,3,2.78,178,1.0791366906474822
F03,F419,8,7.42,413,1.0781671159029649
D649,G459,3,2.79,159,1.075268817204301
D696,I120,2,1.86,120,1.075268817204301
E142,R688,4,3.72,276,1.075268817204301
E149,I258,2,1.86,138,1.075268817204301
D649,K746,5,4.66,390,1.0729613733905579
I10,I99,10,9.32,581,1.0729613733905579
D649,E149,27,25.17,1708,1.072705601907032
C349,E785,3,2.8,195,1.0714285714285714
F03,N184,3,2.8,156,1.0714285714285714
I48,N185,18,16.8,1216,1.0714285714285714
C61,I694,2,1.8699999999999999,108,1.0695187165775402
J90,R54,2,1.8699999999999999,97,1.0695187165775402
E785,I679,8,7.5,463,1.0666666666666667
I694,N189,5,4.69,282,1.0660980810234542
I48,M199,20,18.78,1051,1.0649627263045793
E149,F019,8,7.52,462,1.0638297872340425
E870,R628,2,1.8800000000000001,111,1.0638297872340425
R000,R092,2,1.8800000000000001,118,1.0638297872340425
E889,N189,3,2.83,164,1.0600706713780919
G934,I500,12,11.32,758,1.0600706713780919
I442,I48,3,2.83,154,1.0600706713780919
R53,R568,3,2.83,194,1.0600706713780919
I214,I48,11,10.39,655,1.0587102983638113
I469,R33,2,1.89,97,1.0582010582010584
F419,I10,22,20.810000000000002,1245,1.0571840461316673
E875,I509,3,2.84,189,1.0563380281690142
I219,R688,6,5.68,409,1.0563380281690142
B182,E119,2,1.9000000000000001,180,1.0526315789473684
C61,R090,2,1.9,115,1.0526315789473684
E43,N179,4,3.8,249,1.0526315789473684
F03,I632,2,1.9000000000000001,111,1.0526315789473684
G20,R99,2,1.9,116,1.0526315789473684
G309,K219,3,2.85,164,1.0526315789473684
I64,R579,2,1.9,141,1.0526315789473684
J841,N189,3,2.85,174,1.0526315789473684
F03,J969,89,84.61,4991,1.0518851199621795
I251,N189,67,63.699999999999996,3914,1.0518053375196232
C80,I10,6,5.71,373,1.0507880910683012
A419,E669,5,4.76,421,1.050420168067227
D469,I251,6,5.72,342,1.048951048951049
C509,I64,5,4.7700000000000005,304,1.0482180293501047
E872,J690,3,2.87,202,1.0452961672473868
I10,T828,3,2.87,190,1.0452961672473868
I251,I429,24,22.98,1589,1.0443864229765012
I10,R001,9,8.62,498,1.0440835266821347
E149,I499,17,16.31,1205,1.0423053341508277
E149,I500,159,152.58,10274,1.042076287848997
I350,N19,3,2.88,178,1.0416666666666667
C61,D649,8,7.7,450,1.0389610389610389
J449,R91,7,6.75,437,1.037037037037037
E889,I251,4,3.86,237,1.0362694300518136
G473,R628,2,1.93,127,1.0362694300518136
I120,I959,2,1.93,126,1.0362694300518136
I516,R53,2,1.93,108,1.0362694300518136
G409,I10,5,4.83,341,1.0351966873706004
E039,E669,3,2.9,234,1.0344827586206897
E142,I709,3,2.9,198,1.0344827586206897
E142,R628,5,4.84,291,1.0330578512396695
C61,I802,2,1.94,121,1.0309278350515465
E668,I272,2,1.94,177,1.0309278350515465
G934,N179,11,10.67,766,1.0309278350515465
I10,R402,2,1.94,129,1.0309278350515465
I429,J690,3,2.92,191,1.0273972602739727
R090,R53,6,5.84,357,1.0273972602739727
G319,I500,2,1.95,103,1.0256410256410258
F03,R688,25,24.43,1434,1.023331968890708
I500,R53,34,33.28,1939,1.0216346153846154
I219,J449,18,17.63,1340,1.0209869540555871
A419,E668,5,4.9,468,1.0204081632653061
C61,N19,2,1.96,121,1.0204081632653061
E149,E889,2,1.96,127,1.0204081632653061
E780,I739,2,1.96,131,1.0204081632653061
E86,I959,5,4.9,305,1.0204081632653061
F03,N19,12,11.76,675,1.0204081632653061
G309,I709,8,7.84,441,1.0204081632653061
I350,I429,4,3.92,236,1.0204081632653061
I469,I620,2,1.96,123,1.0204081632653061
I519,R628,3,2.94,168,1.0204081632653061
R000,R628,2,1.96,113,1.0204081632653061
I48,R91,6,5.89,351,1.0186757215619695
I251,M199,16,15.74,926,1.0165184243964422
C349,F179,46,45.29,3586,1.0156767498344006
D649,J439,2,1.97,135,1.015228426395939
I269,I429,2,1.97,146,1.015228426395939
J841,R628,2,1.97,116,1.015228426395939
I120,I350,10,9.86,567,1.0141987829614605
I490,J449,3,2.96,240,1.0135135135135136
C61,J449,14,13.82,868,1.0130246020260492
F179,I110,7,6.92,470,1.0115606936416186
N189,R688,12,11.87,779,1.0109519797809605
E872,I120,2,1.98,123,1.0101010101010102
F329,M819,5,4.95,293,1.0101010101010102
I251,R64,9,8.91,527,1.0101010101010102
J960,N184,4,3.96,227,1.0101010101010102
J960,R54,9,8.91,481,1.0101010101010102
K746,R628,2,1.98,149,1.0101010101010102
N179,N184,2,1.98,113,1.0101010101010102
I259,I500,12,11.89,751,1.0092514718250631
E112,J690,3,2.98,196,1.0067114093959733
E86,J189,9,8.94,533,1.0067114093959733
I500,I802,15,14.91,958,1.0060362173038229
E149,K219,6,5.97,403,1.0050251256281408
I251,M139,2,1.99,122,1.0050251256281406
I48,M353,2,1.99,108,1.0050251256281406
J441,R090,2,1.99,126,1.0050251256281406
R060,R628,2,1.99,109,1.0050251256281406
I48,J159,3,2.99,171,1.0033444816053512
R418,R53,3,2.99,167,1.0033444816053512
N185,R628,4,3.9899999999999998,285,1.0025062656641606
I340,I48,11,10.98,659,1.0018214936247722
B182,N189,1,1,93,1
E109,I500,3,3,233,1
E46,R060,1,1,56,1
E875,I739,1,1,64,1
F101,I500,2,2,163,1
G20,J960,9,9,587,1
G309,I518,1,1,57,1
I250,N179,2,2,130,1
I251,I700,1,1,59,1
I259,I709,2,2,131,1
I420,J969,1,1,64,1
I429,M199,1,1,58,1
I48,T814,1,1,72,1
I509,M480,1,1,59,1
J849,M069,1,1,72,1
L899,N19,1,1,67,1
M199,R418,1,1,56,1
N390,R91,1,1,59,1
F179,J439,38,38.1,2947,0.9973753280839894
A419,I519,3,3.0100000000000002,205,0.9966777408637874
D649,G934,5,5.02,350,0.9960159362549802
C509,I48,15,15.07,935,0.9953550099535501
E871,J189,4,4.02,271,0.9950248756218907
I359,J969,2,2.01,136,0.9950248756218907
I64,I672,2,2.01,120,0.9950248756218907
I120,I258,2,2.0100000000000002,126,0.9950248756218905
F03,F329,21,21.14,1232,0.9933774834437086
G309,I255,3,3.02,169,0.9933774834437086
I10,I519,29,29.28,1910,0.9904371584699453
C449,J449,1,1.01,60,0.9900990099009901
C795,J440,1,1.01,83,0.9900990099009901
C798,I500,2,2.02,139,0.9900990099009901
D509,E785,1,1.01,62,0.9900990099009901
D689,N19,1,1.01,87,0.9900990099009901
E112,E46,2,2.02,132,0.9900990099009901
E119,I458,1,1.01,83,0.9900990099009901
E149,T828,1,1.01,70,0.9900990099009901
E878,R628,1,1.01,61,0.9900990099009901
F03,G319,1,1.01,60,0.9900990099009901
F179,I749,1,1.01,74,0.9900990099009901
G931,I214,1,1.01,83,0.9900990099009901
I420,N189,1,1.01,62,0.9900990099009901
I679,R64,1,1.01,60,0.9900990099009901
I709,I802,1,1.01,69,0.9900990099009901
R060,R688,1,1.01,60,0.9900990099009901
R53,W80,5,5.05,303,0.9900990099009901
I500,R418,4,4.05,226,0.9876543209876544
F322,I10,4,4.050000000000001,223,0.9876543209876542
C61,C64,3,3.04,192,0.9868421052631579
G309,K922,3,3.04,170,0.9868421052631579
I48,R522,3,3.04,189,0.9868421052631579
J939,J960,3,3.04,199,0.9868421052631579
C449,I48,2,2.03,111,0.9852216748768474
K729,N189,2,2.03,175,0.9852216748768474
E785,J449,60,60.9,4309,0.9852216748768473
J969,R53,25,25.39,1608,0.9846396218983852
I219,I500,39,39.66,2686,0.9833585476550681
D649,G20,5,5.1,317,0.9803921568627452
C220,I469,1,1.02,88,0.9803921568627451
C329,I469,1,1.02,73,0.9803921568627451
C61,G473,2,2.04,133,0.9803921568627451
D689,R570,1,1.02,80,0.9803921568627451
E119,J849,1,1.02,71,0.9803921568627451
E142,N009,1,1.02,63,0.9803921568627451
E785,G318,1,1.02,68,0.9803921568627451
E878,I251,1,1.02,66,0.9803921568627451
F329,I272,1,1.02,70,0.9803921568627451
G934,I350,1,1.02,62,0.9803921568627451
I471,J960,1,1.02,61,0.9803921568627451
I499,R579,1,1.02,77,0.9803921568627451
I214,I251,11,11.23,767,0.9795191451469278
R688,R99,6,6.13,441,0.9787928221859706
E039,R53,7,7.16,410,0.9776536312849162
I519,J969,5,5.12,343,0.9765625
C349,N189,2,2.05,134,0.9756097560975611
F419,J960,2,2.05,142,0.9756097560975611
J189,M199,5,5.13,286,0.9746588693957116
E870,I48,3,3.08,181,0.974025974025974
E149,E780,8,8.22,621,0.97323600973236
I10,R418,8,8.22,480,0.97323600973236
I714,J449,5,5.14,323,0.972762645914397
D649,I251,55,56.56,3600,0.9724186704384724
C61,G309,3,3.09,169,0.970873786407767
E43,I269,1,1.03,71,0.970873786407767
G309,R060,1,1.03,56,0.970873786407767
G318,I500,2,2.06,123,0.970873786407767
I429,I802,1,1.03,71,0.970873786407767
I499,R688,3,3.09,208,0.970873786407767
I694,N183,1,1.03,60,0.970873786407767
E145,I10,14,14.43,960,0.9702009702009702
E039,R568,5,5.16,354,0.9689922480620154
I38,I500,20,20.66,1258,0.968054211035818
I509,M199,3,3.1,180,0.9677419354838709
A419,I499,7,7.24,507,0.9668508287292817
I10,R609,2,2.07,114,0.9661835748792271
I679,I739,4,4.14,262,0.9661835748792271
E785,M199,17,17.6,1059,0.9659090909090908
I10,J189,115,119.21,7359,0.9646841707910411
A419,D469,4,4.15,277,0.9638554216867469
E46,N19,4,4.15,276,0.9638554216867469
G459,I64,4,4.15,255,0.9638554216867469
C911,I500,5,5.19,295,0.9633911368015413
I251,J189,63,65.41,4080,0.9631554808133314
I219,N179,12,12.46,832,0.9630818619582664
C189,R54,1,1.04,54,0.9615384615384615
C349,C61,1,1.04,74,0.9615384615384615
C509,M199,2,2.08,122,0.9615384615384615
E039,M353,1,1.04,55,0.9615384615384615
E112,K219,1,1.04,68,0.9615384615384615
E119,I517,1,1.04,75,0.9615384615384615
F069,R628,1,1.04,61,0.9615384615384615
F179,K631,1,1.04,58,0.9615384615384615
F179,Y831,3,3.12,213,0.9615384615384615
G459,N179,1,1.04,62,0.9615384615384615
I219,J459,1,1.04,80,0.9615384615384615
I250,J961,1,1.04,73,0.9615384615384615
I469,K703,2,2.08,190,0.9615384615384615
I739,R53,4,4.16,246,0.9615384615384615
J80,N19,1,1.04,97,0.9615384615384615
J841,R54,1,1.04,55,0.9615384615384615
M869,N179,1,1.04,72,0.9615384615384615
F03,I509,43,44.85,2535,0.9587513935340022
E039,H409,2,2.09,109,0.9569377990430623
E875,R688,2,2.09,146,0.9569377990430623
I350,N390,4,4.18,239,0.9569377990430623
J81,J961,2,2.09,142,0.9569377990430623
K729,K922,2,2.09,199,0.9569377990430623
I251,K746,9,9.42,782,0.9554140127388535
G20,R092,5,5.24,335,0.9541984732824427
C189,I48,10,10.49,619,0.9532888465204957
D509,E039,1,1.05,64,0.9523809523809523
E162,I48,1,1.05,64,0.9523809523809523
E789,G309,1,1.05,62,0.9523809523809523
E789,I250,1,1.05,64,0.9523809523809523
F179,I678,1,1.05,84,0.9523809523809523
G473,I461,1,1.05,93,0.9523809523809523
G934,L899,1,1.05,74,0.9523809523809523
I119,T509,1,1.05,114,0.9523809523809523
I250,R092,2,2.1,135,0.9523809523809523
I251,I459,1,1.05,60,0.9523809523809523
I269,I469,30,31.5,2396,0.9523809523809523
I672,R53,1,1.05,58,0.9523809523809523
I694,N19,1,1.05,65,0.9523809523809523
I709,I959,1,1.05,65,0.9523809523809523
J459,J961,1,1.05,72,0.9523809523809523
J459,R53,1,1.05,63,0.9523809523809523
M480,N189,1,1.05,57,0.9523809523809523
N183,R068,1,1.05,68,0.9523809523809523
D649,I64,16,16.81,1083,0.9518143961927424
E785,F419,6,6.319999999999999,389,0.949367088607595
G931,I251,9,9.48,759,0.9493670886075949
E119,I959,2,2.11,151,0.9478672985781991
I272,J841,4,4.22,293,0.9478672985781991
I251,N184,5,5.28,297,0.9469696969696969
I48,J984,6,6.34,406,0.9463722397476341
I499,J969,13,13.74,925,0.9461426491994177
I10,R91,8,8.46,516,0.9456264775413711
I429,J189,6,6.35,434,0.9448818897637796
I469,M819,10,10.6,613,0.9433962264150944
A419,I472,3,3.18,227,0.9433962264150942
C189,I499,1,1.06,71,0.9433962264150942
C64,I48,3,3.18,197,0.9433962264150942
D696,N390,2,2.12,147,0.9433962264150942
E112,I214,1,1.06,71,0.9433962264150942
E149,I495,2,2.12,120,0.9433962264150942
E785,J849,1,1.06,62,0.9433962264150942
E870,I10,3,3.18,197,0.9433962264150942
G301,R628,2,2.12,112,0.9433962264150942
I249,I251,2,2.12,131,0.9433962264150942
I458,R688,1,1.06,92,0.9433962264150942
I509,M109,1,1.06,62,0.9433962264150942
I639,K922,1,1.06,73,0.9433962264150942
J189,R522,1,1.06,69,0.9433962264150942
M480,R522,1,1.06,66,0.9433962264150942
N40,R688,1,1.06,60,0.9433962264150942
R53,R570,1,1.06,72,0.9433962264150942
I10,M199,59,62.56,3634,0.9430946291560102
I48,J189,99,104.99,6398,0.9429469473283171
I64,N189,14,14.87,919,0.941492938802959
I48,R58,4,4.25,267,0.9411764705882353
E785,I258,3,3.19,216,0.9404388714733543
I10,R33,3,3.19,165,0.9404388714733543
I48,L031,3,3.19,182,0.9404388714733543
G934,J449,5,5.32,407,0.9398496240601504
E039,I959,2,2.13,137,0.9389671361502347
I10,K590,2,2.13,121,0.9389671361502347
I469,I678,2,2.13,163,0.9389671361502347
I495,N189,2,2.13,114,0.9389671361502347
J690,M069,2,2.13,146,0.9389671361502347
I10,I714,11,11.73,691,0.9377664109121909
J189,N40,3,3.1999999999999997,177,0.9375000000000001
I10,M109,9,9.6,555,0.9375
I709,J449,19,20.29,1409,0.9364218827008379
E149,I429,9,9.62,708,0.9355509355509356
I48,N390,46,49.18,2919,0.9353395689304596
C349,E46,1,1.07,79,0.9345794392523364
C859,N179,1,1.07,73,0.9345794392523364
C900,J189,1,1.07,80,0.9345794392523364
C911,R628,1,1.07,61,0.9345794392523364
E039,X590,1,1.07,58,0.9345794392523364
G473,I250,1,1.07,88,0.9345794392523364
I219,M069,1,1.07,81,0.9345794392523364
I48,I749,2,2.14,124,0.9345794392523364
I709,J459,1,1.07,61,0.9345794392523364
J449,J939,1,1.07,75,0.9345794392523364
J690,J80,3,3.21,255,0.9345794392523364
J969,R02,1,1.07,64,0.9345794392523364
R02,R628,1,1.07,57,0.9345794392523364
R090,R11,1,1.07,62,0.9345794392523364
F03,R02,3,3.22,168,0.9316770186335404
G934,I48,14,15.03,973,0.9314703925482369
A419,L031,5,5.37,324,0.931098696461825
I472,I490,2,2.15,158,0.9302325581395349
I500,I516,8,8.6,526,0.9302325581395349
C349,N390,1,1.08,79,0.9259259259259258
D649,I694,5,5.4,336,0.9259259259259258
E149,R418,1,1.08,72,0.9259259259259258
E668,I64,1,1.08,96,0.9259259259259258
E785,I619,2,2.16,141,0.9259259259259258
F329,H409,1,1.08,56,0.9259259259259258
G20,G459,1,1.08,66,0.9259259259259258
G20,L899,1,1.08,69,0.9259259259259258
G309,R001,1,1.08,59,0.9259259259259258
G473,J984,1,1.08,87,0.9259259259259258
I251,R470,1,1.08,65,0.9259259259259258
I272,I359,1,1.08,66,0.9259259259259258
I499,W80,1,1.08,68,0.9259259259259258
I64,R060,1,1.08,61,0.9259259259259258
A419,I639,3,3.25,241,0.9230769230769231
G819,J690,3,3.25,206,0.9230769230769231
I48,N183,14,15.17,877,0.922874093605801
R53,R630,5,5.42,297,0.922509225092251
F179,I259,12,13.01,949,0.9223674096848579
C189,D649,4,4.34,262,0.9216589861751152
E785,I700,2,2.17,130,0.9216589861751152
E785,I251,121,131.55,8876,0.919802356518434
I709,J189,5,5.4399999999999995,321,0.9191176470588236
J189,R628,28,30.490000000000002,1771,0.9183338799606428
I500,J449,275,299.55,19729,0.9180437322650642
A419,T68,1,1.09,74,0.9174311926605504
C20,F179,1,1.09,88,0.9174311926605504
C509,M069,1,1.09,71,0.9174311926605504
G20,I500,22,23.98,1434,0.9174311926605504
I120,J439,2,2.18,143,0.9174311926605504
I120,J841,2,2.18,131,0.9174311926605504
I250,W19,1,1.09,54,0.9174311926605504
I619,Y442,2,2.18,143,0.9174311926605504
I739,M069,2,2.18,147,0.9174311926605504
M069,R092,2,2.18,146,0.9174311926605504
N289,R628,1,1.09,64,0.9174311926605504
N289,R688,1,1.09,78,0.9174311926605504
I679,J449,8,8.74,578,0.9153318077803203
I120,K746,3,3.28,259,0.9146341463414634
J449,R634,2,2.19,127,0.9132420091324202
E46,J189,13,14.24,922,0.9129213483146067
I350,I500,56,61.41,3508,0.9119035987624166
E149,R64,4,4.39,274,0.9111617312072894
E86,I499,4,4.39,275,0.9111617312072894
