Var1,Var2,obs,exp,n,pmr
J440,N390,7,3.28,220,2.1341463414634148
C64,E785,3,1.41,94,2.127659574468085
E785,J984,4,1.8800000000000001,127,2.127659574468085
N179,R53,12,5.64,361,2.127659574468085
F03,I619,4,1.89,117,2.1164021164021167
D649,N009,3,1.42,84,2.1126760563380285
F179,M809,3,1.42,86,2.1126760563380285
E785,G20,17,8.07,512,2.1065675340768277
F03,M199,40,18.99,1052,2.1063717746182204
I48,Y86,4,1.9,106,2.1052631578947367
E142,I251,61,29.01,2080,2.102723198896932
G20,I64,16,7.61,481,2.102496714848883
I119,I619,3,1.43,96,2.097902097902098
I251,I693,3,1.4300000000000002,91,2.0979020979020975
A419,Y831,7,3.3400000000000003,220,2.095808383233533
E149,I10,800,382.06,26910,2.09391195100246
G20,J690,14,6.69,424,2.092675635276532
E149,G459,6,2.87,179,2.0905923344947737
G20,I10,104,49.88,3120,2.0850040096230953
A419,N300,3,1.44,74,2.0833333333333335
E112,I269,3,1.44,103,2.0833333333333335
I251,M353,3,1.44,78,2.0833333333333335
I48,I517,9,4.32,263,2.083333333333333
F03,G934,22,10.57,659,2.0813623462630084
F03,L899,19,9.129999999999999,568,2.0810514786418404
I48,I516,19,9.14,567,2.0787746170678334
G629,J449,5,2.41,161,2.0746887966804977
I48,R53,58,28,1616,2.0714285714285716
I10,I269,76,36.730000000000004,2604,2.0691532806969777
D45,I10,3,1.45,91,2.0689655172413794
E142,I959,3,1.45,105,2.0689655172413794
G309,I516,3,1.45,86,2.0689655172413794
H353,M199,3,1.45,75,2.0689655172413794
I10,M139,18,8.74,538,2.059496567505721
F03,G912,3,1.46,90,2.0547945205479454
C349,I10,31,15.12,1116,2.0502645502645502
E149,L899,10,4.88,341,2.0491803278688523
C349,I48,18,8.8,625,2.0454545454545454
G301,I10,10,4.890000000000001,266,2.0449897750511243
C61,R53,5,2.45,143,2.0408163265306123
D696,K746,4,1.96,173,2.0408163265306123
F101,I469,7,3.43,316,2.0408163265306123
F102,J969,3,1.47,125,2.0408163265306123
G318,I48,5,2.45,148,2.0408163265306123
G936,I48,3,1.47,100,2.0408163265306123
R13,R268,3,1.47,88,2.0408163265306123
E785,F03,128,62.809999999999995,3686,2.0378920554051905
I269,R99,5,2.46,186,2.032520325203252
F03,I120,96,47.269999999999996,2676,2.030886397292152
I269,N390,9,4.45,298,2.0224719101123596
I219,M199,4,1.98,129,2.0202020202020203
J969,M480,4,1.98,123,2.0202020202020203
C911,I509,3,1.49,86,2.0134228187919465
I219,R068,3,1.49,103,2.0134228187919465
I251,I620,3,1.49,90,2.0134228187919465
J440,R53,3,1.49,103,2.0134228187919465
E039,G309,19,9.47,530,2.0063357972544877
D696,I350,2,1,62,2
E149,J440,12,6,445,2
I10,K760,3,1.5,133,2
I251,Y86,3,1.5,89,2
I519,N390,2,1,60,2
I639,R688,3,1.5,102,2
N390,R418,2,1,59,2
G20,R688,7,3.51,225,1.9943019943019944
F03,M480,6,3.01,169,1.993355481727575
I250,I739,6,3.0100000000000002,196,1.9933554817275747
I519,I64,4,2.0100000000000002,133,1.990049751243781
I219,I64,19,9.55,680,1.9895287958115182
I219,J440,3,1.51,118,1.9867549668874172
I469,R268,3,1.51,87,1.9867549668874172
R068,R54,3,1.51,83,1.9867549668874172
C61,I499,5,2.52,151,1.9841269841269842
J960,M628,5,2.52,177,1.9841269841269842
C80,R688,2,1.01,79,1.9801980198019802
C900,I251,4,2.02,144,1.9801980198019802
E875,R628,2,1.01,60,1.9801980198019802
I272,M199,2,1.01,60,1.9801980198019802
I251,J439,20,10.13,725,1.9743336623889436
E149,M199,12,6.08,375,1.9736842105263157
I251,I719,3,1.52,91,1.9736842105263157
E149,G934,9,4.57,347,1.9693654266958422
E871,J449,5,2.54,186,1.968503937007874
I250,I499,7,3.56,242,1.9662921348314606
I10,R54,111,56.51,3032,1.9642541143160503
R53,R54,46,23.45,1243,1.9616204690831558
C349,R628,4,2.04,132,1.9607843137254901
C64,E149,3,1.53,109,1.9607843137254901
D62,I500,4,2.04,120,1.9607843137254901
D696,I959,2,1.02,76,1.9607843137254901
E039,I519,3,1.53,88,1.9607843137254901
E144,I251,2,1.02,68,1.9607843137254901
F019,I639,4,2.04,128,1.9607843137254901
G20,G934,3,1.53,97,1.9607843137254901
I469,T818,4,2.04,143,1.9607843137254901
I48,I951,2,1.02,57,1.9607843137254901
I639,R54,2,1.02,53,1.9607843137254901
F03,I64,127,64.98,3852,1.9544475223145583
G935,J960,4,2.0500000000000003,157,1.9512195121951217
I38,I64,4,2.0500000000000003,139,1.9512195121951217
F03,I219,27,13.84,830,1.9508670520231215
C449,F03,3,1.54,83,1.948051948051948
I251,J440,25,12.84,885,1.9470404984423677
G20,I694,5,2.57,161,1.945525291828794
D689,J960,7,3.6,290,1.9444444444444444
E142,I38,2,1.03,74,1.941747572815534
I120,N19,2,1.03,63,1.941747572815534
I469,T68,2,1.03,71,1.941747572815534
F03,I959,10,5.16,300,1.937984496124031
C80,I48,6,3.1,192,1.9354838709677418
G309,J90,3,1.55,89,1.9354838709677418
I10,I632,17,8.790000000000001,560,1.9340159271899884
D696,E785,4,2.07,140,1.9323671497584543
E142,J449,30,15.540000000000001,1126,1.9305019305019304
F03,I519,13,6.74,389,1.9287833827893175
I251,I639,13,6.74,439,1.9287833827893175
E149,I350,20,10.38,657,1.9267822736030826
I269,I64,11,5.72,420,1.9230769230769231
E669,J449,20,10.4,937,1.923076923076923
E86,I350,2,1.04,58,1.923076923076923
F431,I48,2,1.04,74,1.923076923076923
I259,N390,2,1.04,65,1.923076923076923
I500,R31,2,1.04,57,1.923076923076923
I64,I694,7,3.64,229,1.923076923076923
N189,Y831,2,1.04,63,1.923076923076923
I120,I802,9,4.69,300,1.9189765458422172
E145,F03,6,3.13,191,1.9169329073482428
E142,I350,5,2.61,164,1.9157088122605366
F03,R33,4,2.09,105,1.9138755980861246
J449,J80,3,1.57,144,1.910828025477707
G318,I10,10,5.24,345,1.9083969465648853
E86,F03,32,16.77,962,1.9081693500298151
F03,J841,7,3.67,213,1.9073569482288828
I251,R54,37,19.41,1040,1.9062339000515198
D500,I48,2,1.05,62,1.9047619047619047
E149,F209,2,1.05,99,1.9047619047619047
E213,I10,2,1.05,54,1.9047619047619047
F03,I749,2,1.05,56,1.9047619047619047
G629,J189,2,1.05,63,1.9047619047619047
I258,I739,2,1.05,69,1.9047619047619047
I499,J984,2,1.05,78,1.9047619047619047
I619,R092,2,1.05,67,1.9047619047619047
I672,I739,2,1.05,59,1.9047619047619047
I639,J189,5,2.63,181,1.9011406844106464
F431,I10,6,3.16,255,1.8987341772151898
L899,M869,3,1.58,110,1.8987341772151898
E142,I64,11,5.82,423,1.8900343642611683
G309,R688,11,5.83,334,1.8867924528301887
A047,R688,3,1.59,110,1.8867924528301885
E789,I739,2,1.06,66,1.8867924528301885
F03,I340,4,2.12,117,1.8867924528301885
F171,R628,2,1.06,81,1.8867924528301885
G934,I499,2,1.06,74,1.8867924528301885
I632,J449,4,2.12,147,1.8867924528301885
M819,R090,2,1.06,69,1.8867924528301885
E142,E668,3,1.6,151,1.875
G309,I639,3,1.6,94,1.875
B182,I120,2,1.07,102,1.8691588785046729
C259,I10,4,2.14,162,1.8691588785046729
C911,I120,2,1.07,64,1.8691588785046729
D689,I802,2,1.07,84,1.8691588785046729
F03,G301,2,1.07,57,1.8691588785046729
I214,I272,2,1.07,78,1.8691588785046729
J440,N189,8,4.28,283,1.8691588785046729
R630,R636,2,1.07,56,1.8691588785046729
J189,R54,27,14.48,759,1.8646408839779005
E668,I48,14,7.51,688,1.8641810918774968
E142,R54,3,1.6099999999999999,92,1.863354037267081
N189,R53,16,8.59,509,1.8626309662398137
I639,J449,8,4.3100000000000005,295,1.85614849187935
I48,I639,30,16.17,999,1.8552875695732836
G309,G459,3,1.6199999999999999,90,1.851851851851852
C189,I219,2,1.08,72,1.8518518518518516
C509,R568,2,1.08,81,1.8518518518518516
D62,J969,3,1.62,98,1.8518518518518516
D649,M139,3,1.62,96,1.8518518518518516
E889,I64,3,1.62,102,1.8518518518518516
F03,I279,2,1.08,60,1.8518518518518516
F03,I472,3,1.62,95,1.8518518518518516
F179,I620,2,1.08,76,1.8518518518518516
G20,I272,2,1.08,65,1.8518518518518516
G311,I500,3,1.62,83,1.8518518518518516
H409,I251,2,1.08,57,1.8518518518518516
I10,I634,3,1.62,92,1.8518518518518516
I269,J439,3,1.62,130,1.8518518518518516
I500,J939,2,1.08,64,1.8518518518518516
R000,R54,2,1.08,57,1.8518518518518516
D649,G309,18,9.74,552,1.8480492813141682
F101,F179,16,8.66,801,1.8475750577367205
I219,R628,9,4.88,311,1.8442622950819672
G311,I10,4,2.17,111,1.8433179723502304
F069,I251,3,1.6300000000000001,96,1.840490797546012
I739,I959,3,1.6300000000000001,118,1.840490797546012
D649,F03,89,48.4,2754,1.8388429752066116
A047,J449,5,2.7199999999999998,182,1.8382352941176472
C679,I269,2,1.09,69,1.8348623853211008
E43,R64,2,1.09,71,1.8348623853211008
I500,K859,2,1.09,67,1.8348623853211008
I516,I694,2,1.09,72,1.8348623853211008
I709,J984,2,1.09,76,1.8348623853211008
M199,R634,2,1.09,58,1.8348623853211008
G309,I110,3,1.6400000000000001,92,1.8292682926829267
G309,R630,3,1.6400000000000001,90,1.8292682926829267
J90,W80,3,1.6400000000000001,100,1.8292682926829267
J189,R001,4,2.19,129,1.8264840182648403
D649,I38,5,2.74,164,1.824817518248175
F03,J189,112,61.440000000000005,3581,1.8229166666666665
E780,J449,11,6.05,443,1.8181818181818183
I48,I629,3,1.65,99,1.8181818181818183
C679,E785,5,2.75,171,1.8181818181818181
C80,E785,2,1.1,71,1.8181818181818181
D689,N189,2,1.1,78,1.8181818181818181
E142,J189,13,7.15,495,1.8181818181818181
E668,J189,3,1.6500000000000001,156,1.8181818181818181
I500,I632,6,3.3000000000000003,201,1.8181818181818181
M628,N390,2,1.1,65,1.8181818181818181
I350,J449,31,17.06,1063,1.817116060961313
E142,I272,5,2.7600000000000002,205,1.8115942028985506
I64,J440,5,2.7600000000000002,194,1.8115942028985506
I110,J969,4,2.21,136,1.8099547511312217
G459,I48,19,10.5,600,1.8095238095238095
I99,R688,3,1.66,110,1.8072289156626506
C439,I251,2,1.11,64,1.8018018018018016
F319,I251,2,1.11,86,1.8018018018018016
G301,J449,2,1.11,60,1.8018018018018016
I272,R579,2,1.11,89,1.8018018018018016
I429,I694,2,1.11,74,1.8018018018018016
E871,J690,3,1.67,112,1.7964071856287427
F03,F322,3,1.67,88,1.7964071856287427
I350,I495,3,1.67,89,1.7964071856287427
I500,Y442,3,1.6700000000000002,100,1.7964071856287422
M199,M819,16,8.91,504,1.7957351290684624
J449,R64,15,8.36,546,1.7942583732057418
I259,N189,4,2.23,132,1.7937219730941705
C61,F03,25,13.94,774,1.793400286944046
I251,I519,9,5.0200000000000005,347,1.7928286852589639
E059,I10,10,5.58,340,1.7921146953405018
D649,I679,6,3.35,208,1.791044776119403
J449,K746,16,8.94,772,1.789709172259508
F03,I694,56,31.3,1872,1.7891373801916932
D62,N189,2,1.1199999999999999,63,1.7857142857142858
G419,J960,2,1.1199999999999999,81,1.7857142857142858
C859,R628,2,1.12,69,1.7857142857142856
E039,I340,2,1.12,65,1.7857142857142856
I48,K703,2,1.12,97,1.7857142857142856
I269,J449,32,17.99,1356,1.7787659811006116
G934,N185,4,2.25,182,1.7777777777777777
I10,K279,3,1.69,91,1.7751479289940828
I272,I802,3,1.69,118,1.7751479289940828
I694,I802,3,1.69,109,1.7751479289940828
H409,I10,12,6.7700000000000005,358,1.7725258493353027
E780,R628,4,2.26,132,1.7699115044247788
I071,I10,2,1.13,62,1.7699115044247788
K219,M109,2,1.13,68,1.7699115044247788
M069,R54,2,1.13,61,1.7699115044247788
E46,F171,2,1.1300000000000001,94,1.7699115044247786
E785,Y831,2,1.1300000000000001,71,1.7699115044247786
G20,I959,2,1.1300000000000001,71,1.7699115044247786
I250,I255,4,2.2600000000000002,161,1.7699115044247786
I632,J969,2,1.1300000000000001,72,1.7699115044247786
I10,I259,34,19.24,1264,1.7671517671517674
I10,J849,8,4.53,287,1.7660044150110374
I500,I620,3,1.7,99,1.7647058823529411
E668,I251,11,6.26,593,1.7571884984025559
E668,I10,26,14.81,1409,1.7555705604321403
E149,I214,4,2.28,163,1.7543859649122808
H540,I48,2,1.14,62,1.7543859649122808
I120,M480,3,1.71,97,1.7543859649122808
I420,I48,6,3.42,214,1.7543859649122808
J459,R628,3,1.71,102,1.7543859649122808
J960,R402,3,1.71,126,1.7543859649122808
M628,N288,3,1.71,110,1.7543859649122808
I38,N185,2,1.1400000000000001,88,1.7543859649122806
C61,I251,41,23.4,1402,1.7521367521367524
E149,I219,22,12.56,968,1.751592356687898
G934,R568,8,4.57,346,1.75054704595186
E039,F03,70,40.2,2283,1.7412935323383083
F03,K729,2,1.15,86,1.7391304347826089
I10,I209,2,1.15,66,1.7391304347826089
I219,M819,2,1.15,68,1.7391304347826089
I251,I678,2,1.15,75,1.7391304347826089
I48,J47,2,1.15,67,1.7391304347826089
